 #At time x allocated y bytes for process z from i to j
At time 4 allocated 256 bytes for process 1 from 0 to 255
At time 10 freed 256 bytes for process 1 from 0 to 255
At time 12 allocated 128 bytes for process 2 from 0 to 127
At time 14 allocated 64 bytes for process 3 from 128 to 191
At time 22 allocated 256 bytes for process 4 from 256 to 511
At time 24 allocated 128 bytes for process 5 from 512 to 639
At time 33 allocated 64 bytes for process 6 from 192 to 255
At time 35 freed 64 bytes for process 3 from 128 to 191
At time 36 allocated 256 bytes for process 7 from 768 to 1023
At time 38 allocated 128 bytes for process 8 from 640 to 767
At time 42 allocated 64 bytes for process 9 from 128 to 191
At time 79 freed 128 bytes for process 2 from 0 to 127
At time 94 freed 256 bytes for process 7 from 768 to 1023
At time 94 allocated 256 bytes for process 10 from 768 to 1023
At time 103 freed 128 bytes for process 5 from 512 to 639
At time 128 freed 128 bytes for process 8 from 640 to 767
At time 143 freed 64 bytes for process 6 from 192 to 255
At time 157 freed 256 bytes for process 4 from 256 to 511
At time 168 freed 256 bytes for process 10 from 768 to 1023
At time 171 freed 64 bytes for process 9 from 128 to 191
